,model,num_hidden_layers,hidden_size,hidden_layer_dropout,mse,num_params
0,"2-Layer FC-Net (1501 parameters, dropout = 0.2)",1,10,0.2,0.029752412078194023,1501
1,"2-Layer FC-Net (1501 parameters, dropout = 0.5)",1,10,0.5,0.03106890470172571,1501
2,"2-Layer FC-Net (1501 parameters, dropout = 0.7)",1,10,0.7,0.030027536563136954,1501
3,"2-Layer FC-Net (4501 parameters, dropout = 0.2)",1,30,0.2,0.027750107474679764,4501
4,"2-Layer FC-Net (4501 parameters, dropout = 0.5)",1,30,0.5,0.027662219906670695,4501
5,"2-Layer FC-Net (4501 parameters, dropout = 0.7)",1,30,0.7,0.02759160685395861,4501
6,"2-Layer FC-Net (9001 parameters, dropout = 0.2)",1,60,0.2,0.027260258491965898,9001
7,"2-Layer FC-Net (9001 parameters, dropout = 0.5)",1,60,0.5,0.027263128395011747,9001
8,"2-Layer FC-Net (9001 parameters, dropout = 0.7)",1,60,0.7,0.027220201105578937,9001
9,"2-Layer FC-Net (13501 parameters, dropout = 0.2)",1,90,0.2,0.027085161241742498,13501
10,"2-Layer FC-Net (13501 parameters, dropout = 0.5)",1,90,0.5,0.027082285090312828,13501
11,"2-Layer FC-Net (13501 parameters, dropout = 0.7)",1,90,0.7,0.02710606112296259,13501
12,"2-Layer FC-Net (18001 parameters, dropout = 0.2)",1,120,0.2,0.02707947485799608,18001
13,"2-Layer FC-Net (18001 parameters, dropout = 0.5)",1,120,0.5,0.02708445555948634,18001
14,"2-Layer FC-Net (18001 parameters, dropout = 0.7)",1,120,0.7,0.027100764976686204,18001
15,"3-Layer FC-Net (1611 parameters, dropout = 0.2)",2,10,0.2,0.028869681114795584,1611
16,"3-Layer FC-Net (1611 parameters, dropout = 0.5)",2,10,0.5,0.0277593805762791,1611
17,"3-Layer FC-Net (1611 parameters, dropout = 0.7)",2,10,0.7,0.028841511181983144,1611
18,"3-Layer FC-Net (5431 parameters, dropout = 0.2)",2,30,0.2,0.02723284767219766,5431
19,"3-Layer FC-Net (5431 parameters, dropout = 0.5)",2,30,0.5,0.027153611078336623,5431
20,"3-Layer FC-Net (5431 parameters, dropout = 0.7)",2,30,0.7,0.027326607180978787,5431
21,"3-Layer FC-Net (12661 parameters, dropout = 0.2)",2,60,0.2,0.027759425982433156,12661
22,"3-Layer FC-Net (12661 parameters, dropout = 0.5)",2,60,0.5,0.027751091772495073,12661
23,"3-Layer FC-Net (12661 parameters, dropout = 0.7)",2,60,0.7,0.027610420821343958,12661
